Mandatory for:,Metric Designer,Metric Title,Question,About,Methodology,Topics,Value Type,Research Policy,Metric Type,Report Type
Not Mandatory,Higher Education Statistics Agency (HESA),Residential waste mass used to create energy (tonnes),What is the total waste mass (in tonnes) from the residential estate that is used to create energy?,"This field contains data about the waste mass from the residential estate that is used to create energy. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ","This figure is for the waste mass (tonnes) from the residential estate that is used to create energy e.g. used for Biomass boilers or CHP. Exclude waste that is incinerated with no energy recovery.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass used to create energy is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass total (tonnes),"What is the total waste mass all works of construction, demolition, and excavation not captured elsewhere?","This field contains data about the total waste mass from all works of construction, demolition and excavation not elsewhere captured. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.      ","Total waste mass all works of construction, demolition, and excavation not captured elsewhere. Sum total of Other works waste mass recycled, Other works waste mass incineration, Other works waste mass composting, Other works waste mass anaerobic digestion, Other works waste mass landfill, Other works waste mass used to create energy, and Other works waste mass other.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass is calculated correctly.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass recycled (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is sent for recycling?","This field contains data about the waste mass from the all works of construction, demolition and excavation not elsewhere captured that is sent for recycling. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is sent for recycling.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass recycled is calculated correctly.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass incineration (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is incinerated?","This field contains data about the waste mass from all works of construction, demolition and excavation not elsewhere captured that is incinerated. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is incinerated.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass incineration is calculated correctly.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass composting (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is composted (either onsite or offsite)?","This field contains data about the waste mass from all works of construction, demolition and excavation not elsewhere captured that is composted. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is composted (either onsite or offsite).

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass composting is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass anaerobic digestion (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is sent for anaerobically digestion?","This field contains data about the waste mass from all works of construction, demolition and excavation not elsewhere captured that is sent for anaerobic digestion. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is sent for anaerobically digestion.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass anaerobic digestion is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass landfill (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is sent to landfill?","This field contains data about the waste mass from all works of construction, demolition and excavation not elsewhere captured that is sent to landfill. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is sent to landfill.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass landfill is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass other (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is disposed of by other offsite methods?","This field contains data about the waste mass from all works of construction, demolition and excavation not elsewhere captured that is disposed of by other offsite methods. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is disposed of by other offsite methods. This may include mechanical biological treatment and offsite autoclave.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass other is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Other works waste mass used to create energy (tonnes),"What is the total waste mass (in tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is used to create energy?","This field contains data about the waste mass from all works of construction, demolition and excavation not elsewhere captured that is used to create energy. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","This figure is for the waste mass (tonnes) from all works of construction, demolition, and excavation not captured elsewhere that is used to create energy e.g. used for Biomass boilers or CHP. Exclude waste that is incinerated with no energy recovery.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total waste mass used to create energy is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Environmental management system existence,Does the higher education providers have an externally verified environmental management system?,"This field contains data about the existence of an environmental management system. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ","Does the HEP have an externally verified environmental management system?
• 'Yes' must be used when the HEP has an externally verified environmental management system,
• 'No' must be used when the HEP does not have an externally verified environmental management system.
",University Metrics,"Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Environmental management system external verification,What are the name(s) of the system which the higher education provider's environmental management system is externally verified?,"This field contains data about the external verification of an environmental management system. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Return the name of the system which the HEP's environmental management system is externally verified to. Valid entires include:
• Acorn BS8555 partial
• Acorn BS8555 full
• Eco Campus Bronze
• Eco Campus Silver
• Eco Campus Gold
• Eco Campus Platinum
• EMAS
• Green Dragon
• ISO14001
• Other
If other, please include details in the comments box.",University Metrics,"Check box (Acorn BS8555 partial, Acorn BS8555 full, Eco Campus Bronze, Eco Campus Silver, Eco Campus Gold, Eco Campus Platinum, EMAS, Green Dragon, ISO14001, Other)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Environmental management system external verification coverage,"If the higher education provider (HEP) has a externally verified environmental management system, is this system for the whole HEP?","This field contains data about the coverage of an environmental management system. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ","If the HEP has a externally verified environmental management system, is this system for the whole HEP?
• 'Yes' must be used when the HEP has an externally verified environmental management system which covers the whole estate,
• 'No' must be used when the HEP does not have an externally verified environmental management system which covers the whole estate.",University Metrics,"Category (Yes, No, NA)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Environmental reporting total,Does the higher education provider (HEP) report publicly on the website on its environmental performance?,"This field contains data about the public reporting, or not, on the HEP's website of its environmental performance. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Does the HEP report publicly on the website on its environmental performance?

This may be through Business in the Community, the Global Reporting initiative or against formally agreed and publicly available targets.
• 'Yes' must be used when the HEP's environmental performance is displayed on it's website,
• 'No' must be used when the HEP's environmental performance is not displayed on it's website.
",University Metrics,"Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Fairtrade accreditation existence,Does the higher education provider (HEP) have a Fairtrade certification?,"This field contains data about the existence, or not, of an HEP's Fairtrade accreditation. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","The existence of a Fairtrade certification for the HEP. This must relate to entire whole estate i.e. including the Student Union.
• 'Yes' must be used when the HEP has Fairtrade accreditation,
• 'No' must be used when the HEP does not have Fairtrade accreditation.",University Metrics,"Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff single occupancy car journey (%),What is the percentage modal split of staff commuting by single occupancy car journey?,"This field contains data about the percentage modal split of staff commuting by single occupancy car journey. The value can be recorded to one decimal place and must be between 0 and 100.  This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ",Estimated % of academic and support staff who travel to and from their main place of work at the HEP by single occupancy car journey. This should not include business travel.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff car share (%),What is the percentage modal split of staff commuting by car share?,"This field contains data about the percentage modal split of staff commuting by car share. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ",Estimated % of academic and support staff who travel to and from their main place of work at the HEP by car share. This should not include business travel.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff bus (%),What is the percentage modal split of staff commuting by bus?,"This field contains data about the percentage modal split of staff commuting by bus. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ",Estimated % of academic and support staff who travel to and from their main place of work at the HEP by bus. This should not include business travel.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff train (%),What is the percentage modal split of staff commuting by train?,"This field contains data about the percentage modal split of staff commuting by train. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ","Estimated % of academic and support staff who travel to and from their main place of work at the HEP by train. This should not include business travel.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff cycle (%),What is the percentage modal split of staff commuting by bicycle?,"This field contains data about the percentage modal split of staff commuting by bicycle. The value can be recorded to one decimal place and must be between 0 and 100.  This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ",Estimated % of academic and support staff who travel to and from their main place of work at the HEP by bicycle. This should not include business travel.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff walk (%),What is the percentage modal split of staff commuting by walking?,"This field contains data about the percentage modal split of staff commuting by walking. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ",Estimated % of academic and support staff who travel to and from their main place of work at the HEP by walking. This should not include business travel.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff motorbike (%),What is the percentage modal split of staff commuting by motorbike?,"This field contains data about the percentage modal split of staff commuting by motorbike. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ","Estimated % of academic and support staff who travel to and from their main place of work at the HEP by motorbike. This should not include business travel.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by staff other (%),"What is the  percentage modal split of staff commuting by means other than single occupancy car journey, car share, bus, train, cycle, walking or motorbike?","This field contains data about the percentage modal split of staff commuting by means other than single occupancy car journey, car share, bus, train, cycle, walking or motorbike. The value can be recorded to one decimal place and must be between 0 and 100.  This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Estimated % of academic and support staff who travel to and from their main place of work at the HEP by means other than single occupancy car journey, car share, bus, train, cycle, walking or motorbike. This should not include business travel.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students single occupancy car journey (%),What is the percentage modal split for commuting by students single occupancy car journey?,"This field contains data about the percentage modal split of students commuting by single occupancy car journey. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Estimated % of students who travel to and from their term-time address to the HEP by single occupancy car journey. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students car share (%),What is the percentage modal split for commuting by students car share?,"This field contains data about the percentage modal split of students commuting by car share. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ","Estimated % of students who travel to and from their term-time address to the HEP by car share. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students bus (%),What is the percentage modal split for commuting by students bus?,"This field contains data about the percentage modal split of students commuting by bus. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Estimated % of students who travel to and from their term-time address to the HEP by bus. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students train (%),What is the percentage modal split for commuting by students train?,"This field contains data about the percentage modal split of students commuting by train. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Estimated % of students who travel to and from their term-time address to the HEP by train. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students cycle (%),What is the percentage modal split for commuting by students cycle?,"This field contains data about the percentage modal split of students commuting by bicycle. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Estimated % of students who travel to and from their term-time address to the HEP by bicycle. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students walk (%),What is the percentage modal split for commuting by students walk?,"This field contains data about the percentage modal split of students commuting by walking. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.     ","Estimated % of students who travel to and from their term-time address to the HEP by walking. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students motorbike (%),What is the percentage modal split for commuting by students motorbike?,"This field contains data about the percentage modal split of students commuting by motorbike. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Estimated % of students who travel to and from their term-time address to the HEP by motorbike. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Percentage modal split for commuting by students other (%),What is the percentage modal split for commuting by students other?,"This field contains data about the percentage modal split of students commuting by means other than single occupancy car journey, car share, bus, train, cycle, walking or motorbike. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Estimated % of students who travel to and from their term-time address to the HEP by means other than single occupancy car journey, car share, bus, train, cycle, walking or motorbike. 

This should not include travel from their term-time address to their home (holiday) address.",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total number of cycle spaces,What is the total number of cycle spaces for the whole estate?,"This field contains data about the total number of cycle spaces for the whole estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Total number of cycle spaces for the whole estate.,University Metrics,Number (quanity),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total water supply grey water and rain water (m3),What is the total water supply 'grey water' and rain water for the whole estate?,"This field contains data about the water supply from 'grey water' and rain water. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total water supply 'grey water' and rain water for the whole estate.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total scope 3 carbon emissions from wastewater treatment is calculated correctly.
",University Metrics,Number (m3),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total water borehole extraction (m3),What is the total water supply borehole extraction for the whole estate?,"This field contains data about the total water borehole extraction for the whole estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total water supply borehole extraction for the whole estate of the HEP.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for this field to ensure that the mandatory field Total scope 3 carbon emissions from wastewater treatment is calculated correctly.",University Metrics,Number (m3),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Borehole water used for irrigation (%),What is the percentage of borehole water used for irrigation and therefore not classed as wastewater? ,"This field contains data about the percentage of borehole water used for irregation for the whole estate. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","% of borehole water used for irrigation and therefore not classed as wastewater.
",University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category A (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category A for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category A for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Non-residential GIA in DEC/(EPC - Scotland only) Category A.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category B (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category B for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category B for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Non-residential GIA in DEC/(EPC - Scotland only) Category B.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category C (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category C for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category C for the non-residential estate. The value can be recorded to three decimal places.This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Non-residential GIA in DEC/(EPC - Scotland only) Category C.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category D (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category D for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category D for the non-residential estate. The value can be recorded to three decimal places.This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Non-residential GIA in DEC/(EPC - Scotland only) Category D.,University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category E (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category E for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category E for the non-residential estate. The value can be recorded to three decimal places.This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Non-residential GIA in DEC/(EPC - Scotland only) Category E.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category F (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category F for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category F for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Non-residential GIA in DEC/(EPC - Scotland only) Category F.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential GIA in DEC or EPC category G (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category G for the non-residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category G for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Non-residential GIA in DEC/(EPC - Scotland only) Category G.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category A (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category A for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category A for the residential estate. The value can be recorded to three decimal places.This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Residential GIA in DEC/(EPC - Scotland only) Category A.,University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category B (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category B for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category B for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Residential GIA in DEC/(EPC - Scotland only) Category B.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category C (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category C for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category C for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Residential GIA in DEC/(EPC - Scotland only) Category C.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category D (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category D for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category D for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Residential GIA in DEC/(EPC - Scotland only) Category D.,University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category E (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category E for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category E for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Residential GIA in DEC/(EPC - Scotland only) Category E.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category F (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category F for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category F for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Residential GIA in DEC/(EPC - Scotland only) Category F.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential GIA in DEC or EPC category G (m2),What is the GIA in DEC or EPC (Scotland only) which falls under rating category G for the residential estate?,"This field contains data about GIA in DEC or EPC (Scotland only) which falls under rating category G for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Residential GIA in DEC/(EPC - Scotland only) Category G.",University Metrics,Number (m2),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),EU Emissions Trading Scheme participation,Does the higher education provider participate in the EU Emissions Trading Scheme?,"This field contains data about the participation or not in the EU Emissions Trading Scheme. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Does the HEP participate in the EU Emissions Trading Scheme?
• 'Yes' must be used when the HEP participates in the EU Emissions Trading Scheme,
• 'No' must be used when the HEP does not participate in the EU Emissions Trading Scheme.",University Metrics,"Category (Yes, No)",Community,Researched,Corporate Social Responsibility Report
